PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,CRIME-CHILDREN,CRIME-THEFT,CRIME RATE,Estimate,COMMI,RENT
P05996,Chrompet,958,185,1,1,3,No,3.1,3.9,3.5,2032600,93813,9381.3
P09294,Anna Nagar,1807,108,2,1,5,Yes,2.6,2.1,2.35,3704100,222246,22224.6
P03807,Karapakkam,1658,59,2,2,4,No,2.5,3.2,2.85,3879720,113159,11315.9
P00539,Anna Nagar,1592,102,1,1,4,Yes,4.1,2.5,3.3,4081340,84442,8444.2
P01448,Chrompet,857,62,1,1,3,No,3,2.9,2.95,1812120,34849,3484.9
P06667,KK Nagar,1818,12,3,2,5,No,2.6,2,2.3,4724630,305712,30571.2
P09803,Velachery,1584,186,2,1,4,Yes,3.6,2.4,3,5330960,103657,10365.7
P05568,Anna Nagar,1860,59,2,1,5,Yes,3.5,2,2.75,8492690,304866,30486.6
P05102,Velachery,1701,16,2,1,4,No,3,3.5,3.25,4472330,238524,23852.4
P04556,Adyar,868,182,1,1,3,No,3.3,4.1,3.7,1868980,5664,566.4
P03782,KK Nagar,1313,157,1,1,3,No,3.1,4.5,3.8,4267760,127125,12712.5
P02221,KK Nagar,1785,37,3,2,5,Yes,2.2,5,3.6,5296530,129711,12971.1
P03299,Velachery,1608,19,2,1,4,No,2.8,4.5,3.65,4619760,138593,13859.3
P08959,Chrompet,832,67,1,1,3,No,5,3.5,4.25,2328870,89572,8957.2
P09377,Velachery,1818,105,3,2,5,No,2.2,3.3,2.75,2421410,145285,14528.5
P09924,Velachery,1730,71,2,1,4,No,4.6,5,4.8,3779960,99473,9947.3
P01394,Chrompet,1122,42,1,1,3,No,3.3,3.1,3.2,2643060,99115,9911.5
P07407,KK Nagar,1606,9,2,1,4,Yes,2,2.7,2.35,3527570,164620,16462
P08729,Anna Nagar,1976,114,2,1,5,No,2.5,4.1,3.3,3428640,215877,21587.7
P09542,Velachery,1954,128,3,2,5,Yes,2.3,4.3,3.3,4077830,81557,8155.7
P01853,Chrompet,1030,145,1,1,3,Yes,4.5,3.4,3.95,2498130,59955,5995.5
P08051,Adyar,1222,136,2,2,4,No,3.3,3.9,3.6,4022140,129746,12974.6
P08271,Adyar,856,177,1,1,3,No,2.1,2,2.05,1790180,86621,8662.1
P02055,Velachery,1957,17,3,2,5,Yes,2.7,5,3.85,3263660,111897,11189.7
P01462,Adyar,1011,81,1,1,3,No,4.6,2,3.3,2371030,26345,2634.5
P03664,Velachery,1725,100,2,1,4,Yes,2.7,2.6,2.65,5047200,136411,13641.1
